City,State,Institution,Transfer Course ID,Transfer Course Name,RPI Course ID,RPI Course Name,Note,Begin,End,Transfer Catalog
Albany,NY,Albany College Of Pharmacy And Health Sciences,BIO 101,General Biology I,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,Albany College Of Pharmacy And Health Sciences
Charles Town,WV,American Public University System,SCIN130,Introduction To Biology With Lab,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,American Public University System Undergraduate
Asheville,NC,Asheville-Buncombe Technical Community College,BIO-110,Principles Of Biology,BIOL 1010,Introduction To Biology,,,,Asheville-Buncombe Technical Community College
Waco,TX,Baylor University,BIO 1105 + BIO 1305,Modern Concepts Of Bioscience Laboratory + Modern Concepts Of Bioscience,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,Baylor University Undergraduate
Paramus,NJ,Bergen Community College,BIO-101 + BIO-203,General Biology I + General Biology II,BIOL 1000 + BIOL 1010 + BIOL 1015,Biology Elective + Introduction To Biology + Introduction To Biology Laboratory,,,,Bergen Community College
Paramus,NJ,Bergen Community College,BIO-101,General Biology I,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,Bergen Community College
Chestnut Hill,MA,Boston College,BIOL2100 + BIOL2201,Introductory Biology Laboratory I + Introductory Biology I,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,Boston College Undergraduate
Bridgewater,MA,Bridgewater State University,BIOL 100,General Principles Of Biology,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,Bridgewater State University
Fall River,MA,Bristol Community College,BIO 121,Fundamentals Of Biological Science I,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,Bristol Community College
Lincroft,NJ,Brookdale Community College,BIOL101,General Biology I,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,Brookdale Community College
Fort Lauderdale,FL,Broward College,BSC2010 + BSC2010L,Introduction To Biology I + Introduction To Biology I Laboratory,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,BIOL 1010 (3cr) + BIOL 1015 (1cr),05/01/2023,05/01/2026,Broward College
Newtown,PA,Bucks County Community College,BIOL 101,Biological Science I,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,Bucks County Community College
Bristol,PA,Bucks County Community College-Lower Bucks Campus,BIOL 101,Biological Science I,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,Bucks County Community College
Perkasie,PA,Bucks County Community College-Upper Bucks Campus,BIOL 101,Biological Science I,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,Bucks County Community College
Boston,MA,Bunker Hill Community College,BIO-105,Introduction To Biology,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,,,,Bunker Hill Community College
Boston,MA,Bunker Hill Community College,BIO-195,General Biology I & Lab,BIOL 1010 + BIOL 1015,Introduction To Biology + Introduction To Biology Laboratory,BIOL 1010 (3cr) + BIOL 1015 (1cr),09/01/2023,09/01/2026,Bunker Hill Community College
Pasadena,CA,California Institute Of Technology,Bi 9,Cell Biology,BIOL 1010 + BIOL 1010 + BIOL 1015 + BIOL 1015 + BIOL 2120 + BIOL 2120,Introduction To Biology + Introduction To Biology + Introduction To Biology Laboratory + Introduction To Biology Laboratory + Introduction To Cell And Molecular Biology + Introduction To Cell And Molecular Biology,,,,California Institute Of Technology
